,Symbol,Name,Price,Change,% Change,Market Cap,Total Volume,Circulating Supply
63,SAND-USD,The Sandbox USD,0.303230,-0.002693,-0.88%,626.149M,31.78M,31.78M
64,INJ-USD,Injective USD,7.4299,+0.0206,+0.28%,622.295M,30.405M,30.405M
65,HEX-USD,HEX USD,0.003562,+0.000115,+3.32%,617.685M,"402,083","402,083"
66,TNC5524-USD,TNC Coin USD,0.105089,-0.000930,-0.88%,614.897M,"34,239","34,239"
67,BSV-USD,Bitcoin SV USD,31.83,-0.88,-2.69%,613.224M,18.727M,18.727M
68,THETA-USD,Theta Network USD,0.610899,-0.005128,-0.83%,610.899M,7.229M,7.229M
69,RNDR-USD,Render USD,1.5940,-0.0191,-1.18%,592.821M,27.935M,27.935M
70,SNX-USD,Synthetix USD,2.1627,-0.0286,-1.31%,584.245M,22.374M,22.374M
71,XRD-USD,Radix USD,0.055755,+0.000155,+0.28%,571.768M,2.141M,2.141M
72,MANA-USD,Decentraland USD,0.297811,+0.001426,+0.48%,563.784M,34.634M,34.634M
73,WBNB-USD,Wrapped BNB USD,218.14,-2.47,-1.12%,558.322M,79.489M,79.489M
74,FTM-USD,Fantom USD,0.193197,-0.002887,-1.47%,541.654M,26.339M,26.339M
75,NEO-USD,Neo USD,7.6122,+0.1048,+1.40%,536.957M,26.405M,26.405M
76,XEC-USD,eCash USD,0.000026,-0.000001,-5.18%,513.941M,110.29M,110.29M
77,USDP-USD,Pax Dollar USD,0.998637,+0.002752,+0.28%,490.383M,1.907M,1.907M
78,KAVA-USD,Kava USD,0.630126,-0.009776,-1.53%,490.095M,12.559M,12.559M
79,PAXG-USD,PAX Gold USD,"1,924.50",+7.15,+0.37%,477.884M,5.123M,5.123M
80,XAUT-USD,Tether Gold USD,"1,930.26",+10.78,+0.56%,475.856M,4.002M,4.002M
81,FLOW-USD,Flow USD,0.451157,-0.003986,-0.88%,467.489M,32.588M,32.588M
82,RPL-USD,Rocket Pool USD,22.49,-0.35,-1.51%,442.935M,2.7M,2.7M
83,CHZ-USD,Chiliz USD,0.059230,-0.000220,-0.37%,438.41M,29.963M,29.963M
84,RLB-USD,Rollbit Coin USD,0.131444,-0.012007,-8.37%,433.366M,10.596M,10.596M
85,KCS-USD,KuCoin Token USD,4.4018,+0.0511,+1.18%,425.798M,"692,709","692,709"
86,APE18876-USD,ApeCoin USD,1.1561,+0.0001,+0.01%,426.122M,52.223M,52.223M
87,ZEC-USD,Zcash USD,25.80,-0.38,-1.46%,421.272M,35.36M,35.36M
88,MIOTA-USD,IOTA USD,0.149375,-0.001849,-1.22%,415.192M,12.297M,12.297M
89,CFX-USD,Conflux USD,0.124745,+0.002661,+2.18%,407.13M,19.027M,19.027M
90,CSPR-USD,Casper USD,0.035110,-0.000112,-0.32%,397.759M,1.986M,1.986M
91,HT-USD,Huobi Token USD,2.4473,+0.0042,+0.17%,397.028M,21.873M,21.873M
92,FXS-USD,Frax Share USD,5.3613,-0.0264,-0.49%,395.088M,13.18M,13.18M
93,FDUSD-USD,First Digital USD USD,1.0003,+0.0003,+0.03%,393.98M,654.605M,654.605M
94,CRV-USD,Curve DAO Token USD,0.443215,-0.003302,-0.74%,389.741M,42.412M,42.412M
95,BTT-USD,BitTorrent(New) USD,0.00000040,+0.00000000,+0.36%,377.195M,14.444M,14.444M
96,MINA-USD,Mina USD,0.384654,-0.001816,-0.47%,373.278M,4.194M,4.194M
97,GT-USD,GateToken USD,3.8619,+0.0256,+0.67%,370.908M,"917,978","917,978"
98,KLAY-USD,Klaytn USD,0.116346,-0.002093,-1.77%,370.614M,8.323M,8.323M
